ticker,company,sector_gics,sector_icb,stock_index,country
CNC,Centene Corporation,Healthcare,Healthcare,,United States
IQV,IQVIA Holdings Inc.,Healthcare,Healthcare,,United States
MCK,McKesson Corporation,Healthcare,Healthcare,,United States
A,"Agilent Technologies, Inc",Healthcare,Healthcare,,United States
FMS,Fresenius Medical Care AG &amp; Co. KGaA,Healthcare,Healthcare,,Germany
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Healthcare,,United States
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Healthcare,,Israel
ALGN,"Align Technology, Inc.",Healthcare,Healthcare,,United States
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Healthcare,,United States
WAT,Waters Corporation,Healthcare,Healthcare,,United States
ABC,AmerisourceBergen Corporation,Healthcare,Healthcare,,United States
GRFS,"Grifols, S.A.",Healthcare,Healthcare,,Spain
INCY,Incyte Corporation,Healthcare,Healthcare,,United States
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Healthcare,,United States
SNN,Smith &amp; Nephew plc,Healthcare,Healthcare,,Kingdom
CGC,Canopy Growth Corporation,Healthcare,Healthcare,,Canada
ABMD,"ABIOMED, Inc.",Healthcare,Healthcare,,United States
MTD,Mettler-Toledo International Inc.,Healthcare,Healthcare,,United States
MYL,Mylan N.V.,Healthcare,Healthcare,NASDAQ 100,United States
CAH,"Cardinal Health, Inc.",Healthcare,Healthcare,,United States
RMD,ResMed Inc.,Healthcare,Healthcare,,United States
LH,Laboratory Corporation of America Holdings,Healthcare,Healthcare,,United States
WCG,"WellCare Health Plans, Inc.",Healthcare,Healthcare,,United States
COO,"The Cooper Companies, Inc.",Healthcare,Healthcare,,United States
HOLX,"Hologic, Inc.",Healthcare,Healthcare,,United States
DXCM,"DexCom, Inc.",Healthcare,Healthcare,,United States
TFX,Teleflex Incorporated,Healthcare,Healthcare,,United States
UHS,"Universal Health Services, Inc.",Healthcare,Healthcare,,United States
HSIC,"Henry Schein, Inc.",Healthcare,Healthcare,NASDAQ 100,United States
VAR,"Varian Medical Systems, Inc.",Healthcare,Healthcare,,United States
DGX,Quest Diagnostics Incorporated,Healthcare,Healthcare,,United States
SGEN,"Seattle Genetics, Inc.",Healthcare,Healthcare,,United States
ELAN,Elanco Animal Health Incorporated,Healthcare,Healthcare,,United States
STE,STERIS plc,Healthcare,Healthcare,,Kingdom
PKI,"PerkinElmer, Inc.",Healthcare,Healthcare,,United States
DVA,DaVita Inc.,Healthcare,Healthcare,,United States
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Healthcare,,United States
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
SRPT,"Sarepta Therapeutics, Inc.",Healthcare,Healthcare,,United States
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare,,United States
QGEN,QIAGEN N.V.,Healthcare,Healthcare,,Netherland
BHC,Bausch Health Companies Inc.,Healthcare,Healthcare,,Canada
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Healthcare,,United States
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
WST,"West Pharmaceutical Services, Inc.",Healthcare,Healthcare,,United States
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Healthcare,,Ireland
NKTR,Nektar Therapeutics,Healthcare,Healthcare,,United States
BGNE,"BeiGene, Ltd.",Healthcare,Healthcare,,Cayman Islands
ICLR,ICON Public Limited Company,Healthcare,Healthcare,,Ireland
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Healthcare,,United States
TLRY,"Tilray, Inc.",Healthcare,Healthcare,,Canada
HRC,"Hill-Rom Holdings, Inc.",Healthcare,Healthcare,,United States
BLUE,"bluebird bio, Inc.",Healthcare,Healthcare,,United States
ACB,Aurora Cannabis Inc.,Healthcare,Healthcare,,Canada
EXEL,"Exelixis, Inc.",Healthcare,Healthcare,,United States
EHC,Encompass Health Corporation,Healthcare,Healthcare,,United States
PRAH,"PRA Health Sciences, Inc.",Healthcare,Healthcare,,United States
MASI,Masimo Corporation,Healthcare,Healthcare,,United States
TECH,Bio-Techne Corporation,Healthcare,Healthcare,,United States
PRGO,Perrigo Company plc,Healthcare,Healthcare,,Ireland
RDY,Dr. Reddy's Laboratories Limited,Healthcare,Healthcare,,India
CRL,"Charles River Laboratories International, Inc.",Healthcare,Healthcare,,United States
GLPG,Galapagos NV,Healthcare,Healthcare,,Belgium
BRKR,Bruker Corporation,Healthcare,Healthcare,,United States
CTLT,"Catalent, Inc.",Healthcare,Healthcare,,United States
ALKS,Alkermes plc,Healthcare,Healthcare,,Ireland
SYNH,"Syneos Health, Inc.",Healthcare,Healthcare,,United States
HAE,Haemonetics Corporation,Healthcare,Healthcare,,United States
UTHR,United Therapeutics Corporation,Healthcare,Healthcare,,United States
ICUI,"ICU Medical, Inc.",Healthcare,Healthcare,,United States
PEN,"Penumbra, Inc.",Healthcare,Healthcare,,United States
MRNA,"Moderna, Inc.",Healthcare,Healthcare,,United States
CHE,Chemed Corporation,Healthcare,Healthcare,,United States
NVCR,NovoCure Limited,Healthcare,Healthcare,NASDAQ Composite,nan
PODD,Insulet Corporation,Healthcare,Healthcare,,United States
FGEN,"FibroGen, Inc.",Healthcare,Healthcare,,United States
LIVN,LivaNova PLC,Healthcare,Healthcare,,Kingdom
GMED,"Globus Medical, Inc.",Healthcare,Healthcare,,United States
TSRO,"Tesaro, Inc.",Healthcare,Healthcare,,United States
AMED,"Amedisys, Inc.",Healthcare,Healthcare,,United States
IART,Integra LifeSciences Holdings Corporation,Healthcare,Healthcare,,United States
ARGX,argenx SE,Healthcare,Healthcare,,Netherland
MOR,MorphoSys AG,Healthcare,Healthcare,,Germany
TARO,Taro Pharmaceutical Industries Ltd.,Healthcare,Healthcare,,Israel
WMGI,Wright Medical Group N.V.,Healthcare,Healthcare,,nan
HZNP,Horizon Pharma Public Limited Company,Healthcare,Healthcare,,Ireland
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Healthcare,,United States
ICPT,"Intercept Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
LHCG,"LHC Group, Inc.",Healthcare,Healthcare,,United States
GH,"Guardant Health, Inc.",Healthcare,Healthcare,,United States
CMD,Cantel Medical Corp.,Healthcare,Healthcare,,United States
MD,"MEDNAX, Inc.",Healthcare,Healthcare,,United States
NEOG,Neogen Corporation,Healthcare,Healthcare,,United States
INGN,"Inogen, Inc.",Healthcare,Healthcare,,United States
CBPO,"China Biologic Products Holdings, Inc.",Healthcare,Healthcare,,China
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Healthcare,,United States
ASND,Ascendis Pharma A/S,Healthcare,Healthcare,,Denmark
EBS,Emergent BioSolutions Inc.,Healthcare,Healthcare,,United States
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
MMSI,"Merit Medical Systems, Inc.",Healthcare,Healthcare,,United States
AMN,"AMN Healthcare Services, Inc.",Healthcare,Healthcare,,United States
BPMC,Blueprint Medicines Corporation,Healthcare,Healthcare,,United States
HCM,Hutchison China MediTech Limited,Healthcare,Healthcare,,Hong Kong
GHDX,"Genomic Health, Inc.",Healthcare,Healthcare,,United States
ITGR,Integer Holdings Corporation,Healthcare,Healthcare,,United States
GBT,"Global Blood Therapeutics, Inc.",Healthcare,Healthcare,,United States
NUVA,"NuVasive, Inc.",Healthcare,Healthcare,,United States
RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Healthcare,,United States
AKCA,"Akcea Therapeutics, Inc.",Healthcare,Healthcare,,United States
RGEN,Repligen Corporation,Healthcare,Healthcare,,United States
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Healthcare,,United States
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Healthcare,,United States
BEAT,"BioTelemetry, Inc.",Healthcare,Healthcare,,United States
GKOS,Glaukos Corporation,Healthcare,Healthcare,,United States
THC,Tenet Healthcare Corporation,Healthcare,Healthcare,,United States
ENSG,"The Ensign Group, Inc.",Healthcare,Healthcare,,United States
MRTX,"Mirati Therapeutics, Inc.",Healthcare,Healthcare,,United States
ENDP,Endo International plc,Healthcare,Healthcare,,Ireland
AVNS,"Avanos Medical, Inc.",Healthcare,Healthcare,,United States
MEDP,"Medpace Holdings, Inc.",Healthcare,Healthcare,,United States
QDEL,Quidel Corporation,Healthcare,Healthcare,,United States
ARNA,"Arena Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
SEM,Select Medical Holdings Corporation,Healthcare,Healthcare,,United States
PDCO,"Patterson Companies, Inc.",Healthcare,Healthcare,,United States
MYGN,"Myriad Genetics, Inc.",Healthcare,Healthcare,,United States
IRTC,"iRhythm Technologies, Inc.",Healthcare,Healthcare,,United States
DNLI,Denali Therapeutics Inc.,Healthcare,Healthcare,,United States
INVA,"Innoviva, Inc.",Healthcare,Healthcare,,United States
CNMD,CONMED Corporation,Healthcare,Healthcare,,United States
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
NXTM,"Nxstage Medical, Inc.",Healthcare,Healthcare,,United States
INSM,Insmed Incorporated,Healthcare,Healthcare,,United States
ALLK,Allakos Inc.,Healthcare,Healthcare,,United States
ANAB,"AnaptysBio, Inc.",Healthcare,Healthcare,,United States
MNK,Mallinckrodt Public Limited Company,Healthcare,Healthcare,,Kingdom
APHA,Aphria Inc.,Healthcare,Healthcare,,Canada
PTLA,"Portola Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
MYOK,"MyoKardia, Inc.",Healthcare,Healthcare,,United States
PCRX,"Pacira Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
ONCE,"Spark Therapeutics, Inc.",Healthcare,Healthcare,,United States
ATRA,"Atara Biotherapeutics, Inc.",Healthcare,Healthcare,,United States
MGLN,"Magellan Health, Inc.",Healthcare,Healthcare,,United States
BKD,Brookdale Senior Living Inc.,Healthcare,Healthcare,,United States
ENTA,"Enanta Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
RGNX,REGENXBIO Inc.,Healthcare,Healthcare,,United States
MDCO,The Medicines Company,Healthcare,Healthcare,,United States
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Healthcare,,United States
PTCT,"PTC Therapeutics, Inc.",Healthcare,Healthcare,,United States
CBM,Cambrex Corporation,Healthcare,Healthcare,,United States
PBH,Prestige Consumer Healthcare Inc.,Healthcare,Healthcare,,United States
KANG,"iKang Healthcare Group, Inc.",Healthcare,Healthcare,,China
ATRI,Atrion Corporation,Healthcare,Healthcare,,United States
NVRO,Nevro Corp.,Healthcare,Healthcare,,United States
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Healthcare,,United States
AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Healthcare,,United States
MYOV,Myovant Sciences Ltd.,Healthcare,Healthcare,,Kingdom
CLVS,"Clovis Oncology, Inc.",Healthcare,Healthcare,,United States
TXMD,"TherapeuticsMD, Inc.",Healthcare,Healthcare,,United States
XON,Intrexon Corporation,Healthcare,Healthcare,,United States
INSP,"Inspire Medical Systems, Inc.",Healthcare,Healthcare,,United States
LMNX,Luminex Corporation,Healthcare,Healthcare,,United States
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
QURE,uniQure N.V.,Healthcare,Healthcare,,Netherland
BABY,Natus Medical Incorporated,Healthcare,Healthcare,,United States
SGMO,"Sangamo Therapeutics, Inc.",Healthcare,Healthcare,,United States
MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
SPPI,"Spectrum Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
KNSA,"Kiniksa Pharmaceuticals, Ltd.",Healthcare,Healthcare,,Bermuda
NVTA,Invitae Corporation,Healthcare,Healthcare,,United States
PACB,"Pacific Biosciences of California, Inc.",Healthcare,Healthcare,,United States
RUBY,"Rubius Therapeutics, Inc.",Healthcare,Healthcare,,United States
VREX,Varex Imaging Corporation,Healthcare,Healthcare,,United States
ORTX,Orchard Therapeutics plc,Healthcare,Healthcare,,Kingdom
CRY,"CryoLife, Inc.",Healthcare,Healthcare,,United States
DCPH,"Deciphera Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
DPLO,"Diplomat Pharmacy, Inc.",Healthcare,Healthcare,,United States
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
AUTL,Autolus Therapeutics plc,Healthcare,Healthcare,,Kingdom
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
OFIX,Orthofix Medical Inc.,Healthcare,Healthcare,,United States
CSII,"Cardiovascular Systems, Inc.",Healthcare,Healthcare,,United States
PBYI,"Puma Biotechnology, Inc.",Healthcare,Healthcare,,United States
NRC,National Research Corporation,Healthcare,Healthcare,,United States
EDIT,"Editas Medicine, Inc.",Healthcare,Healthcare,,United States
TVTY,"Tivity Health, Inc.",Healthcare,Healthcare,,United States
CDXS,"Codexis, Inc.",Healthcare,Healthcare,,United States
IFRX,InflaRx N.V.,Healthcare,Healthcare,NASDAQ Composite,Germany
TCDA,"Tricida, Inc.",Healthcare,Healthcare,,United States
SLDB,Solid Biosciences Inc.,Healthcare,Healthcare,,United States
PRSC,The Providence Service Corporation,Healthcare,Healthcare,,United States
NTRA,"Natera, Inc.",Healthcare,Healthcare,,United States
PETQ,"PetIQ, Inc.",Healthcare,Healthcare,,United States
FIXX,"Homology Medicines, Inc.",Healthcare,Healthcare,,United States
ADUS,Addus HomeCare Corporation,Healthcare,Healthcare,,United States
ANGO,"AngioDynamics, Inc.",Healthcare,Healthcare,,United States
ATNX,"Athenex, Inc.",Healthcare,Healthcare,,United States
HNGR,"Hanger, Inc.",Healthcare,Healthcare,,United States
GTHX,"G1 Therapeutics, Inc.",Healthcare,Healthcare,,United States
OSUR,"OraSure Technologies, Inc.",Healthcare,Healthcare,,United States
EPZM,"Epizyme, Inc.",Healthcare,Healthcare,,United States
CTMX,"CytomX Therapeutics, Inc.",Healthcare,Healthcare,,United States
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Healthcare,,United States
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
YMAB,"Y-mAbs Therapeutics, Inc.",Healthcare,Healthcare,,United States
CO,Global Cord Blood Corporation,Healthcare,Healthcare,,Hong Kong
PRNB,Principia Biopharma Inc.,Healthcare,Healthcare,,United States
VIVO,"Meridian Bioscience, Inc.",Healthcare,Healthcare,,United States
SRDX,"Surmodics, Inc.",Healthcare,Healthcare,,United States
TWST,Twist Bioscience Corporation,Healthcare,Healthcare,NASDAQ Composite,United States
ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Healthcare,,United States
SGRY,"Surgery Partners, Inc.",Healthcare,Healthcare,,United States
CIVI,"Civitas Solutions, Inc.",Healthcare,Healthcare,,United States
OBSV,ObsEva SA,Healthcare,Healthcare,,Switzerland
DRNA,"Dicerna Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
CCXI,"ChemoCentryx, Inc.",Healthcare,Healthcare,,United States
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
KURA,"Kura Oncology, Inc.",Healthcare,Healthcare,,United States
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
KPTI,Karyopharm Therapeutics Inc.,Healthcare,Healthcare,,United States
ASMB,"Assembly Biosciences, Inc.",Healthcare,Healthcare,,United States
ARVN,"Arvinas Holding Company, LLC",Healthcare,Healthcare,,United States
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Healthcare,,United States
ANIK,"Anika Therapeutics, Inc.",Healthcare,Healthcare,,United States
ZYME,Zymeworks Inc.,Healthcare,Healthcare,,Canada
CBAY,"CymaBay Therapeutics, Inc.",Healthcare,Healthcare,,United States
UBX,"Unity Biotechnology, Inc.",Healthcare,Healthcare,,United States
CMTA,Clementia Pharmaceuticals Inc.,Healthcare,Healthcare,,Canada
INO,"Inovio Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
MGNX,"MacroGenics, Inc.",Healthcare,Healthcare,,United States
OMI,"Owens &amp; Minor, Inc.",Healthcare,Healthcare,,United States
PRTA,Prothena Corporation plc,Healthcare,Healthcare,,Ireland
ODT,"Odonate Therapeutics, Inc.",Healthcare,Healthcare,,United States
FTSV,"Forty Seven, Inc.",Healthcare,Healthcare,,United States
NITE,Nightstar Therapeutics plc,Healthcare,Healthcare,,Kingdom
SVA,Sinovac Biotech Ltd.,Healthcare,Healthcare,,China
ZEAL,Zealand Pharma A/S,Healthcare,Healthcare,,Denmark
EIDX,"Eidos Therapeutics, Inc.",Healthcare,Healthcare,,United States
RCUS,"Arcus Biosciences, Inc.",Healthcare,Healthcare,,United States
THOR,"Synthorx, Inc.",Healthcare,Healthcare,,United States
FLDM,Fluidigm Corporation,Healthcare,Healthcare,,United States
AXNX,"Axonics Modulation Technologies, Inc.",Healthcare,Healthcare,,United States
GRTS,"Gritstone Oncology, Inc.",Healthcare,Healthcare,,United States
OSMT,Osmotica Pharmaceuticals plc,Healthcare,Healthcare,,United States
ARA,"American Renal Associates Holdings, Inc.",Healthcare,Healthcare,,United States
FPRX,"Five Prime Therapeutics, Inc.",Healthcare,Healthcare,,United States
SRRK,Scholar Rock Holding Corporation,Healthcare,Healthcare,,United States
NCNA,NuCana plc,Healthcare,Healthcare,,Kingdom
CYTK,"Cytokinetics, Incorporated",Healthcare,Healthcare,,United States
DBVT,DBV Technologies S.A.,Healthcare,Healthcare,,France
KZR,"Kezar Life Sciences, Inc.",Healthcare,Healthcare,,United States
SIEN,"Sientra, Inc.",Healthcare,Healthcare,,United States
REPL,"Replimune Group, Inc.",Healthcare,Healthcare,,United States
UTMD,"Utah Medical Products, Inc.",Healthcare,Healthcare,,United States
LCI,"Lannett Company, Inc.",Healthcare,Healthcare,,United States
XERS,"Xeris Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
AVRO,"AVROBIO, Inc.",Healthcare,Healthcare,,United States
VAPO,"Vapotherm, Inc.",Healthcare,Healthcare,,United States
APYX,Apyx Medical Corporation,Healthcare,Healthcare,,United States
MGTX,MeiraGTx Holdings plc,Healthcare,Healthcare,,United States
EVLO,"Evelo Biosciences, Inc.",Healthcare,Healthcare,,United States
SPNE,SeaSpine Holdings Corporation,Healthcare,Healthcare,,United States
UROV,Urovant Sciences Ltd.,Healthcare,Healthcare,,Kingdom
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Healthcare,,United States
DERM,"Dermira, Inc.",Healthcare,Healthcare,,United States
SVRA,Savara Inc.,Healthcare,Healthcare,,United States
VYGR,"Voyager Therapeutics, Inc.",Healthcare,Healthcare,,United States
OPTN,"OptiNose, Inc.",Healthcare,Healthcare,,United States
TBIO,"Translate Bio, Inc.",Healthcare,Healthcare,NASDAQ Composite,United States
MCRB,"Seres Therapeutics, Inc.",Healthcare,Healthcare,,United States
CSU,Capital Senior Living Corporation,Healthcare,Healthcare,,United States
TORC,"resTORbio, Inc.",Healthcare,Healthcare,,United States
TOCA,Tocagen Inc.,Healthcare,Healthcare,,United States
XBIT,XBiotech Inc.,Healthcare,Healthcare,,United States
KMDA,Kamada Ltd.,Healthcare,Healthcare,,Israel
SYRS,"Syros Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
CUTR,"Cutera, Inc.",Healthcare,Healthcare,,United States
KALA,"Kala Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
APTX,Aptinyx Inc.,Healthcare,Healthcare,,United States
IVC,Invacare Corporation,Healthcare,Healthcare,,United States
ECOR,"electroCore, Inc.",Healthcare,Healthcare,,United States
SPRO,"Spero Therapeutics, Inc.",Healthcare,Healthcare,,United States
ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
CNST,"Constellation Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
ERYP,ERYTECH Pharma S.A.,Healthcare,Healthcare,,France
SNDX,"Syndax Pharmaceuticals, Inc.",Healthcare,Healthcare,,United States
MNLO,Menlo Therapeutics Inc.,Healthcare,Healthcare,,United States
RMED,"Ra Medical Systems, Inc.",Healthcare,Healthcare,,United States
CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,Healthcare,,United States
PBY,Prospect Capital Corporation,Real state,Financials,,nan
GMTA,GATX Corporation SR NT 2066,Real state,Financials,,nan
SAB,Saratoga Investment Corp. NT 23,Real state,Financials,,nan
JW-A,John Wiley &amp; Sons Inc.,Real state,Financials,,United States
NEE,"NextEra Energy, Inc.",Utilities,Utilities,,United States
DUK,Duke Energy Corporation,Utilities,Utilities,,United States
D,"Dominion Energy, Inc",Utilities,Utilities,,United States
SO,The Southern Company,Utilities,Utilities,,United States
DYNC,Vistra Energy Corp.,Utilities,Utilities,,United States
EXC,Exelon Corporation,Utilities,Utilities,,United States
AEP,"American Electric Power Company, Inc.",Utilities,Utilities,,United States
NGG,National Grid plc,Utilities,Utilities,,Kingdom
SRE-PA,Sempra Energy,Utilities,Utilities,,United States
SRE,Sempra Energy,Utilities,Utilities,,United States
SRE-PB,Sempra Energy,Utilities,Utilities,,United States
DCUD,"Dominion Energy, Inc. UT SER A 081519",Utilities,Utilities,,nan
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities,,United States
XEL,Xcel Energy Inc.,Utilities,Utilities,,United States
ED,"Consolidated Edison, Inc.",Utilities,Utilities,,United States
WEC,"WEC Energy Group, Inc.",Utilities,Utilities,,United States
PPL,PPL Corporation,Utilities,Utilities,,United States
ES,Eversource Energy,Utilities,Utilities,,United States
DTE,DTE Energy Company,Utilities,Utilities,,United States
FE,FirstEnergy Corp.,Utilities,Utilities,,United States
KEP,Korea Electric Power Corporation,Utilities,Utilities,,Korea
EIX,Edison International,Utilities,Utilities,,United States
NMK-PC,Niagara Mohawk Power Corporation PFD 3.90%,Utilities,Utilities,,nan
AWK,"American Water Works Company, Inc.",Utilities,Utilities,,United States
AEE,Ameren Corporation,Utilities,Utilities,,United States
ETR,Entergy Corporation,Utilities,Utilities,,United States
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities,,Bermuda
AGR,"Avangrid, Inc.",Utilities,Utilities,,United States
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities,,United States
CNP-PB,"CenterPoint Energy, Inc.",Utilities,Utilities,,United States
EVRG,"Evergy, Inc.",Utilities,Utilities,,United States
FTS,Fortis Inc.,Utilities,Utilities,,Canada
CMS,CMS Energy Corporation,Utilities,Utilities,,United States
ENIA,Enel Américas S.A.,Utilities,Utilities,,Chile
HNP,"Huaneng Power International, Inc.",Utilities,Utilities,,China
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobras,Utilities,Utilities,,Brazil
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobras,Utilities,Utilities,,Brazil
VST,Vistra Energy Corp.,Utilities,Utilities,,United States
NRG,"NRG Energy, Inc.",Utilities,Utilities,,United States
ATO,Atmos Energy Corporation,Utilities,Utilities,,United States
LNT,Alliant Energy Corporation,Utilities,Utilities,,United States
AES,The AES Corporation,Utilities,Utilities,,United States
NI-PB,NiSource Inc.,Utilities,Utilities,,United States
NI,NiSource Inc.,Utilities,Utilities,,United States
PNW,Pinnacle West Capital Corporation,Utilities,Utilities,,United States
UGI,UGI Corporation,Utilities,Utilities,,United States
DTV,DTE Energy Company CORPORATE UNIT,Utilities,Utilities,,nan
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities,,Bermuda
CPL,CPFL Energia S.A.,Utilities,Utilities,,Brazil
CMS-PB,Consumers Energy Company,Utilities,Utilities,,United States
OGE,OGE Energy Corp.,Utilities,Utilities,,United States
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities,Utilities,,Brazil
PCG,PG&amp;E Corporation,Utilities,Utilities,,United States
WTR,"Aqua America, Inc.",Utilities,Utilities,,United States
VVC,Vectren Corporation,Utilities,Utilities,,United States
ENIC,Enel Chile S.A.,Utilities,Utilities,,Chile
AQN,Algonquin Power &amp; Utilities Corp.,Utilities,Utilities,,Canada
IDA,"IDACORP, Inc.",Utilities,Utilities,,United States
SJIU,"South Jersey Industries, Inc. CORP UNITS",Utilities,Utilities,,nan
OGS,"ONE Gas, Inc.",Utilities,Utilities,,United States
POR,Portland General Electric Company,Utilities,Utilities,,United States
NJR,New Jersey Resources Corporation,Utilities,Utilities,,United States
SWX,"Southwest Gas Holdings, Inc.",Utilities,Utilities,,United States
HE,"Hawaiian Electric Industries, Inc.",Utilities,Utilities,,United States
SR,Spire Inc.,Utilities,Utilities,,United States
ALE,"ALLETE, Inc.",Utilities,Utilities,,United States
